  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1   36    0   86.21  83.33    25     29   30      0     33    30    90.91
   2   32    0   25.00  28.00     7     28   25     16     29    27    93.10
   3   30    0   63.16  63.16    12     19   19      5     28    23    82.14
   4   28    0   30.43  30.43     7     23   23     12     26    24    92.31
   5   14    0  100.00 100.00    15     15   15      0     13    13   100.00
   6   17    0   92.86 100.00    13     14   13      0     13    12    92.31
   7   23    1    0.00   0.00     0      0    0      0      0     0     0.00
   8   20    0   58.82  76.92    10     17   13      2     18    18   100.00
   9   17    0   95.24 100.00    20     21   20      0     14    14   100.00
  10   29    0   52.00  61.90    13     25   21      5     26    22    84.62
  11   20    0   33.33  35.29     6     18   17      4     19    14    73.68
  12   12    0   71.43  71.43     5      7    7      1     10    10   100.00
  13   29    0   36.00  36.00     9     25   25      9     28    25    89.29
  14   17    1    0.00   0.00     0      0    0      0      0     0     0.00
  15   15    0   50.00  62.50     5     10    8      2     14    13    92.86
  16   21    0   46.15  54.55     6     13   11      1     17    15    88.24
  17   10    0   50.00  71.43     5     10    7      0      9     8    88.89
  18   42    0   63.33  63.33    19     30   30     10     33    31    93.94
  19   34    0   54.17  59.09    13     24   22      6     31    27    87.10
  20   19    0   27.78  35.71     5     18   14      7     18    13    72.22
  21   15    0   50.00  55.56     5     10    9      1     11     8    72.73
  22   36    1    0.00   0.00     0      0    0      0      0     0     0.00
  23   15    0  100.00 100.00    14     14   14      0     14    13    92.86
  24    3    0    0.00   0.00     0      1    3      0      2     2   100.00
  25   48    1    0.00   0.00     0      0    0      0      0     0     0.00
  26   25    0   52.38  64.71    11     21   17      4     21    20    95.24
  27   15    1    0.00   0.00     0      0    0      0      0     0     0.00
  28   27    0   38.89  43.75     7     18   16      6     25    17    68.00
  29   15    0   83.33  76.92    10     12   13      2     14    13    92.86
  30   17    0   57.14  72.73     8     14   11      0     16    12    75.00
  31   14    1    0.00   0.00     0      0    0      0      0     0     0.00
  32   11    0   50.00  57.14     4      8    7      3     10     9    90.00
  33   24    0   33.33  43.75     7     21   16      6     23    18    78.26
  34   15    0   30.00  37.50     3     10    8      3     13    10    76.92
  35   36    0   52.38  45.83    11     21   24      3     32    29    90.62
  36   23    0   37.50  36.00     9     24   25     11     21    17    80.95
  37   20    1    0.00   0.00     0      0    0      0      0     0     0.00
  38   16    0   77.78  87.50     7      9    8      0     15    10    66.67
  39    7    0  100.00 100.00     4      4    4      0      5     4    80.00
  40   36    0   43.48  52.63    10     23   19      8     32    30    93.75
  41   16    0   60.00  75.00     6     10    8      2     13    13   100.00
  42   26    0   41.67  35.71     5     12   14      4     19    12    63.16
  43   30    0   60.00  75.00    15     25   20      3     25    17    68.00
  44   30    0   75.86  81.48    22     29   27      4     29    25    86.21
  45   26    1    0.00   0.00     0      0    0      0      0     0     0.00
  46   13    0   44.44  66.67     4      9    6      1     11     9    81.82
  47    8    0   50.00  80.00     4      8    5      1      6     6   100.00
  48   27    1    0.00   0.00     0      0    0      0      0     0     0.00
  49   31    0   40.00  40.00     8     20   20     10     26    24    92.31
  50   19    0   35.71  55.56     5     14    9      2     17    14    82.35
  51   19    0   35.29  50.00     6     17   12      4     17    13    76.47
  52    9    0   50.00  60.00     3      6    5      1      8     5    62.50
  53   35    0   77.78  91.30    21     27   23      2     32    28    87.50
  54   29    1    0.00   0.00     0      0    0      0      0     0     0.00
  55   11    0   70.00  87.50     7     10    8      1     10    10   100.00
  56   31    1    0.00   0.00     0      0    0      0      0     0     0.00
  57   16    0   53.85  58.33     7     13   12      2     15    14    93.33
  58   21    0   71.43  75.00    15     21   20      1     20    18    90.00
  59   33    1    0.00   0.00     0      0    0      0      0     0     0.00
  60   23    0   36.36  42.11     8     22   19      6     20    19    95.00
  61   33    0   57.69  62.50    15     26   24      2     27    22    81.48
  62   20    0   69.23  90.00     9     13   10      0     16    13    81.25
  63   24    0   50.00  55.56    10     20   18      7     19    19   100.00
  64   19    0   50.00  50.00     7     14   14      5     17    17   100.00
  65   22    0   65.00  76.47    13     20   17      1     21    17    80.95
  66   30    1    0.00   0.00     0      0    0      0      0     0     0.00
  67   31    1    0.00   0.00     0      0    0      0      0     0     0.00
  68   41    1    0.00   0.00     0      0    0      0      0     0     0.00
  69   18    0   56.25  64.29     9     16   14      2     17    14    82.35
  70   38    0   21.88  26.92     7     32   26     14     37    31    83.78
  71   22    1    0.00   0.00     0      0    0      0      0     0     0.00
  72   27    0   38.10  47.06     8     21   17      7     23    19    82.61
  73   14    0  100.00 100.00    10     10   10      0     13    10    76.92
  74   17    0   70.00  87.50     7     10    8      0     14    11    78.57
  75   35    0   50.00  60.00    12     24   20      6     31    27    87.10
  76   13    0   77.78 100.00     7      9    7      0     12    10    83.33
  77   18    0   60.00  75.00     9     15   12      3     17    13    76.47
  78   24    0   58.82  52.63    10     17   19      6     23    22    95.65
  79   11    0   71.43  83.33     5      7    6      0     10    10   100.00
  80   59    1    0.00   0.00     0      0    0      0      0     0     0.00
  81   22    0   85.00  89.47    17     20   19      1     21    19    90.48
  82   41    0   57.14  66.67    20     35   30      5     37    30    81.08
  83   11    0   12.50  14.29     1      8    7      3      9     6    66.67
  84   32    0   55.00  57.89    11     20   19      4     25    23    92.00
  85   12    0   54.55  66.67     6     11    9      2     10     9    90.00
  86   24    0   54.55  60.00    12     22   20      7     20    17    85.00
  87   25    0   47.83  61.11    11     23   18      2     21    19    90.48
  88   26    1    0.00   0.00     0      0    0      0      0     0     0.00
  89   13    0   83.33  71.43     5      6    7      0     12    10    83.33
  90   41    0   66.67  68.97    20     30   29      5     37    36    97.30
  91   28    0   45.45  43.48    10     22   23      9     26    23    88.46
  92   35    0   35.71  47.62    10     28   21     11     31    24    77.42
  93   35    0   60.00  64.29    18     30   28      8     33    29    87.88
  94   31    0   31.03  37.50     9     29   24     13     30    23    76.67
  95   15    0   37.50  33.33     3      8    9      5     12     6    50.00
  96   20    1    0.00   0.00     0      0    0      0      0     0     0.00
  97   32    0   47.62  58.82    10     21   17      7     28    25    89.29
  98    2    1    0.00   0.00     0      0    0      0      0     0     0.00
  99   27    0   80.95  89.47    17     21   19      0     24    22    91.67
 100   38    1    0.00   0.00     0      0    0      0      0     0     0.00
 101   29    0   63.64  77.78    14     22   18      2     24    20    83.33
 102   23    0   75.00  75.00     9     12   12      1     20    16    80.00
 103   17    0   80.00  75.00    12     15   16      1     16    16   100.00
 104   34    0   32.00  40.00     8     25   20      7     32    29    90.62
 105   14    0   70.00  77.78     7     10    9      1     11    10    90.91
 106   17    0   66.67  72.73     8     12   11      0     15    11    73.33
 107   37    0   44.44  40.00    12     27   30     14     32    30    93.75
 108   38    1    0.00   0.00     0      0    0      0      0     0     0.00
 109   18    0   66.67  75.00     6      9    8      1     14     9    64.29
 110   27    1    0.00   0.00     0      0    0      0      0     0     0.00
 111   24    0   35.00  43.75     7     20   16      7     21    17    80.95
 112   28    0   66.67  76.19    16     24   21      4     26    22    84.62
 113   15    0   25.00  28.57     4     16   14      7     13    11    84.62
 114    4    0   33.33  25.00     1      3    4      0      3     3   100.00
 115   10    0  100.00  87.50     7      7    8      0      8     8   100.00
 116   26    0   55.00  61.11    11     20   18      6     25    22    88.00
 117   32    1    0.00   0.00     0      0    0      0      0     0     0.00
 118    9    0   57.14  57.14     4      7    7      2      8     8   100.00
 119   42    0   28.57  31.58    12     42   38     23     41    37    90.24
 120   30    0   39.29  42.31    11     28   26     12     27    20    74.07
 121   21    0   54.55  60.00    12     22   20      7     19    17    89.47
 122   42    0   44.44  50.00    12     27   24     10     39    34    87.18
 123   11    0  100.00 100.00     7      7    7      0      9     9   100.00
 124   15    1    0.00   0.00     0      0    0      0      0     0     0.00
 125   28    0   50.00  55.56    10     20   18      6     25    21    84.00
 126   36    0   40.74  50.00    11     27   22      7     31    29    93.55
 127   16    0   84.62 100.00    11     13   11      0     15    14    93.33
 128   20    0   58.82  71.43    10     17   14      4     19    16    84.21
 129   16    0   62.50  71.43     5      8    7      0     15    11    73.33
 130    6    0   20.00  12.50     1      5    8      3      5     5   100.00
 131   38    0   59.26  64.00    16     27   25      8     33    31    93.94
 132   37    0   37.50  44.44    12     32   27     12     35    29    82.86
 133   23    1    0.00   0.00     0      0    0      0      0     0     0.00
 134    8    0  100.00 100.00     6      6    6      0      7     7   100.00
 135   34    0   44.44  60.00    12     27   20      6     31    27    87.10
 136    9    0   77.78  77.78     7      9    9      1      8     5    62.50
 137   25    0   33.33  37.50     6     18   16      8     22    20    90.91
