  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1   36    0   72.41  75.00    21     29   28      6     33    31    93.94
   2   32    0   46.43  52.00    13     28   25      9     29    26    89.66
   3   30    0   63.16  54.55    12     19   22      4     28    22    78.57
   4   28    0   69.57  72.73    16     23   22      2     26    24    92.31
   5   14    0  100.00 100.00    15     15   15      0     13    13   100.00
   6   17    0   92.86 100.00    13     14   13      0     13    12    92.31
   7   23    1    0.00   0.00     0      0    0      0      0     0     0.00
   8   20    0   52.94  69.23     9     17   13      1     18    17    94.44
   9   17    0   95.24 100.00    20     21   20      0     14    14   100.00
  10   29    0   80.00  80.00    20     25   25      1     26    25    96.15
  11   20    0   61.11  57.89    11     18   19      4     19    15    78.95
  12   12    0   71.43  62.50     5      7    8      0     10    10   100.00
  13   29    0   52.00  48.15    13     25   27     12     28    27    96.43
  14   17    1    0.00   0.00     0      0    0      0      0     0     0.00
  15   15    0   80.00  88.89     8     10    9      0     14    14   100.00
  16   21    0   61.54  66.67     8     13   12      2     17    15    88.24
  17   10    0   60.00  66.67     6     10    9      0      9     8    88.89
  18   42    0   63.33  65.52    19     30   29      7     33    31    93.94
  19   34    0   54.17  56.52    13     24   23      8     31    29    93.55
  20   19    0   83.33  83.33    15     18   18      1     18    17    94.44
  21   15    1    0.00   0.00     0      0    0      0      0     0     0.00
  22   36    0   70.37  73.08    19     27   26      5     31    29    93.55
  23   15    0  100.00 100.00    14     14   14      0     14    13    92.86
  24    3    0    0.00   0.00     0      1    3      0      2     2   100.00
  25   48    0   46.67  52.50    21     45   40     14     45    41    91.11
  26   25    0   71.43  71.43    15     21   21      3     21    20    95.24
  27   15    1    0.00   0.00     0      0    0      0      0     0     0.00
  28   27    0   55.56  50.00    10     18   20      7     25    20    80.00
  29   15    0   83.33  76.92    10     12   13      2     14    13    92.86
  30   17    0   35.71  45.45     5     14   11      1     16    12    75.00
  31   14    1    0.00   0.00     0      0    0      0      0     0     0.00
  32   11    0   87.50 100.00     7      8    7      0     10     9    90.00
  33   24    1    0.00   0.00     0      0    0      0      0     0     0.00
  34   15    1    0.00   0.00     0      0    0      0      0     0     0.00
  35   36    0   38.10  36.36     8     21   22     10     32    29    90.62
  36   23    0   62.50  65.22    15     24   23      7     21    19    90.48
  37   20    1    0.00   0.00     0      0    0      0      0     0     0.00
  38   16    0   88.89 100.00     8      9    8      0     15    12    80.00
  39    7    0  100.00 100.00     4      4    4      0      5     4    80.00
  40   36    0   56.52  61.90    13     23   21      6     32    32   100.00
  41   16    0   90.00 100.00     9     10    9      0     13    13   100.00
  42   26    1    0.00   0.00     0      0    0      0      0     0     0.00
  43   30    0   84.00  95.45    21     25   22      0     25    20    80.00
  44   30    0   82.76  85.71    24     29   28      3     29    25    86.21
  45   26    0   42.86  42.86     9     21   21      7     24    21    87.50
  46   13    0   55.56  62.50     5      9    8      1     11     9    81.82
  47    8    0   75.00 100.00     6      8    6      0      6     6   100.00
  48   27    0   36.84  36.84     7     19   19      8     23    18    78.26
  49   31    0   40.00  38.10     8     20   21     11     26    25    96.15
  50   19    0   71.43  90.91    10     14   11      0     17    17   100.00
  51   19    0   70.59  80.00    12     17   15      1     17    16    94.12
  52    9    0   50.00  60.00     3      6    5      0      8     5    62.50
  53   35    0   62.96  68.00    17     27   25      6     32    29    90.62
  54   29    1    0.00   0.00     0      0    0      0      0     0     0.00
  55   11    0   70.00  87.50     7     10    8      1     10    10   100.00
  56   31    0   73.68  82.35    14     19   17      2     26    22    84.62
  57   16    0   76.92  76.92    10     13   13      2     15    14    93.33
  58   21    0   85.71  81.82    18     21   22      0     20    18    90.00
  59   33    0   54.55  52.94    18     33   34     12     29    26    89.66
  60   23    0   68.18  68.18    15     22   22      4     20    20   100.00
  61   33    1    0.00   0.00     0      0    0      0      0     0     0.00
  62   20    1    0.00   0.00     0      0    0      0      0     0     0.00
  63   24    0   40.00  44.44     8     20   18      8     19    19   100.00
  64   19    0   35.71  29.41     5     14   17      8     17    15    88.24
  65   22    0   75.00  83.33    15     20   18      2     21    17    80.95
  66   30    1    0.00   0.00     0      0    0      0      0     0     0.00
  67   31    1    0.00   0.00     0      0    0      0      0     0     0.00
  68   41    1    0.00   0.00     0      0    0      0      0     0     0.00
  69   18    0   62.50  58.82    10     16   17      3     17    16    94.12
  70   38    0   46.88  48.39    15     32   31     11     37    33    89.19
  71   22    1    0.00   0.00     0      0    0      0      0     0     0.00
  72   27    1    0.00   0.00     0      0    0      0      0     0     0.00
  73   14    0  100.00 100.00    10     10   10      0     13    10    76.92
  74   17    1    0.00   0.00     0      0    0      0      0     0     0.00
  75   35    0   75.00  85.71    18     24   21      2     31    25    80.65
  76   13    0   77.78 100.00     7      9    7      0     12    10    83.33
  77   18    0   93.33  93.33    14     15   15      1     17    11    64.71
  78   24    0   94.12  80.00    16     17   20      0     23    23   100.00
  79   11    0   71.43  83.33     5      7    6      0     10    10   100.00
  80   59    0   61.11  55.00    22     36   40      7     51    46    90.20
  81   22    0   75.00  71.43    15     20   21      1     21    19    90.48
  82   41    0   60.00  70.00    21     35   30      5     37    33    89.19
  83   11    0   50.00  50.00     4      8    8      2      9     6    66.67
  84   32    0   55.00  50.00    11     20   22      6     25    24    96.00
  85   12    0   90.91  90.91    10     11   11      0     10     9    90.00
  86   24    0   68.18  65.22    15     22   23      7     20    17    85.00
  87   25    1    0.00   0.00     0      0    0      0      0     0     0.00
  88   26    0   57.89  61.11    11     19   18      6     20    20   100.00
  89   13    1    0.00   0.00     0      0    0      0      0     0     0.00
  90   41    1    0.00   0.00     0      0    0      0      0     0     0.00
  91   28    0   77.27  73.91    17     22   23      5     26    23    88.46
  92   35    0   53.57  65.22    15     28   23      8     31    25    80.65
  93   35    0   73.33  75.86    22     30   29      6     33    31    93.94
  94   31    0   58.62  60.71    17     29   28      9     30    26    86.67
  95   15    0   37.50  33.33     3      8    9      5     12     7    58.33
  96   20    1    0.00   0.00     0      0    0      0      0     0     0.00
  97   32    0   76.19  84.21    16     21   19      0     28    25    89.29
  98    2    1    0.00   0.00     0      0    0      0      0     0     0.00
  99   27    0   85.71  85.71    18     21   21      1     24    22    91.67
 100   38    1    0.00   0.00     0      0    0      0      0     0     0.00
 101   29    1    0.00   0.00     0      0    0      0      0     0     0.00
 102   23    0   75.00  81.82     9     12   11      0     20    15    75.00
 103   17    0   80.00  75.00    12     15   16      1     16    16   100.00
 104   34    0   60.00  68.18    15     25   22      4     32    29    90.62
 105   14    0   70.00  70.00     7     10   10      2     11    10    90.91
 106   17    0   75.00  69.23     9     12   13      0     15    13    86.67
 107   37    0   74.07  60.61    20     27   33      6     32    29    90.62
 108   38    1    0.00   0.00     0      0    0      0      0     0     0.00
 109   18    0   77.78  77.78     7      9    9      2     14    11    78.57
 110   27    0   72.22  81.25    13     18   16      1     25    18    72.00
 111   24    0   35.00  43.75     7     20   16      7     21    17    80.95
 112   28    1    0.00   0.00     0      0    0      0      0     0     0.00
 113   15    1    0.00   0.00     0      0    0      0      0     0     0.00
 114    4    0   33.33  25.00     1      3    4      0      3     3   100.00
 115   10    0  100.00  87.50     7      7    8      0      8     8   100.00
 116   26    0   60.00  57.14    12     20   21      4     25    23    92.00
 117   32    1    0.00   0.00     0      0    0      0      0     0     0.00
 118    9    0   57.14  57.14     4      7    7      2      8     8   100.00
 119   42    0   47.62  47.62    20     42   42     18     41    36    87.80
 120   30    0   71.43  71.43    20     28   28      5     27    22    81.48
 121   21    0   95.45 100.00    21     22   21      0     19    19   100.00
 122   42    0   40.74  44.00    11     27   25     12     39    32    82.05
 123   11    0  100.00 100.00     7      7    7      0      9     9   100.00
 124   15    0   50.00  57.89    11     22   19      7     13    11    84.62
 125   28    0   70.00  82.35    14     20   17      3     25    20    80.00
 126   36    0   33.33  40.91     9     27   22     11     31    30    96.77
 127   16    0   84.62 100.00    11     13   11      0     15    15   100.00
 128   20    0   70.59  80.00    12     17   15      3     19    16    84.21
 129   16    0   87.50 100.00     7      8    7      0     15    13    86.67
 130    6    0   20.00  14.29     1      5    7      3      5     4    80.00
 131   38    0   66.67  72.00    18     27   25      7     33    33   100.00
 132   37    0   28.12  32.14     9     32   28     14     35    26    74.29
 133   23    1    0.00   0.00     0      0    0      0      0     0     0.00
 134    8    0  100.00 100.00     6      6    6      0      7     7   100.00
 135   34    0   66.67  69.23    18     27   26      7     31    28    90.32
 136    9    0   88.89  88.89     8      9    9      0      8     8   100.00
 137   25    0   72.22  72.22    13     18   18      3     22    22   100.00
 138   21    1    0.00   0.00     0      0    0      0      0     0     0.00
 139   12    0  100.00 100.00    10     10   10      0     10     9    90.00
 140   28    0   76.19  76.19    16     21   21      1     25    22    88.00
 141   26    0   80.00  94.12    16     20   17      1     25    23    92.00
 142   10    0  100.00  81.82     9      9   11      0      9     8    88.89
 143   22    0   63.16  80.00    12     19   15      1     17    16    94.12
 144   34    0   68.97  74.07    20     29   27      7     31    29    93.55
 145   11    1    0.00   0.00     0      0    0      0      0     0     0.00
 146   26    0   57.89  68.75    11     19   16      5     23    23   100.00
 147   22    0   61.90  65.00    13     21   20      7     21    21   100.00
 148    6    0  100.00 100.00     4      4    4      0      5     4    80.00
 149   16    0  100.00 100.00    11     11   11      0     13    13   100.00
 150   28    0   47.37  47.37     9     19   19      7     27    21    77.78
 151   15    0  100.00 100.00    13     13   13      0     14    13    92.86
 152   47    0   77.14  90.00    27     35   30      3     42    35    83.33
 153   12    0   70.00  77.78     7     10    9      2     11    11   100.00
 154   39    0   75.68  84.85    28     37   33      5     35    34    97.14
 155   11    0   87.50  87.50     7      8    8      0     10    10   100.00
 156   19    0   80.00 100.00    12     15   12      0     17    17   100.00
 157   18    0   73.33  78.57    11     15   14      2     17    16    94.12
 158   20    1    0.00   0.00     0      0    0      0      0     0     0.00
 159   21    0   64.71  61.11    11     17   18      2     20    19    95.00
 160   12    0  100.00 100.00     9      9    9      0     10     8    80.00
 161   21    0   76.47  72.22    13     17   18      3     20    18    90.00
 162   40    1    0.00   0.00     0      0    0      0      0     0     0.00
 163   30    0   68.00  73.91    17     25   23      4     26    24    92.31
 164   36    0   58.33  73.68    14     24   19      5     30    28    93.33
 165   30    0   48.28  50.00    14     29   28      9     28    26    92.86
 166   45    1    0.00   0.00     0      0    0      0      0     0     0.00
 167   13    0  100.00 100.00    11     11   11      0     10    10   100.00
 168   21    0   92.31 100.00    12     13   12      0     19    18    94.74
 169    9    1    0.00   0.00     0      0    0      0      0     0     0.00
 170   13    0  100.00 100.00     7      7    7      0     11    11   100.00
 171   53    1    0.00   0.00     0      0    0      0      0     0     0.00
 172    8    0   50.00  33.33     2      4    6      1      6     4    66.67
 173   15    0   80.00 100.00     8     10    8      0     11     8    72.73
 174   16    0   66.67  80.00     8     12   10      2     15    14    93.33
 175   13    0    0.00   0.00     0      9    4      2     11    10    90.91
 176   10    1    0.00   0.00     0      0    0      0      0     0     0.00
 177   57    0   58.82  61.22    30     51   49     12     54    45    83.33
 178   10    0  100.00 100.00     7      7    7      0      9     9   100.00
 179   14    0   90.91 100.00    10     11   10      0     13    12    92.31
 180   34    1    0.00   0.00     0      0    0      0      0     0     0.00
 181   63    1    0.00   0.00     0      0    0      0      0     0     0.00
 182   33    0   88.89  85.71    24     27   28      0     29    25    86.21
 183   25    0   81.25  86.67    13     16   15      2     23    18    78.26
 184   14    0   81.82  75.00     9     11   12      0     13    11    84.62
 185   24    0   60.00  64.29     9     15   14      3     19    17    89.47
 186   21    0   65.00  72.22    13     20   18      5     20    19    95.00
 187   11    0   75.00 100.00     6      8    6      0     10    10   100.00
 188   13    0   90.00  90.00     9     10   10      0     12    11    91.67
 189   26    0   78.26  81.82    18     23   22      0     24    20    83.33
 190    6    0   33.33  20.00     1      3    5      1      4     2    50.00
 191   20    0   73.68  82.35    14     19   17      1     17    14    82.35
 192   31    0   58.33  63.64    14     24   22      6     28    25    89.29
 193   31    0   66.67  70.59    12     18   17      2     24    22    91.67
 194   13    0  100.00 100.00    10     10   10      0     12    12   100.00
 195   18    0   76.92  76.92    10     13   13      3     15    14    93.33
